version=2
id	NumCompo	Species	QuantumNumbers	Frequency	Eup	Gup	Aij	FitFreq	DeltaFitFreq	Vo	deltaVo	FWHM_G	deltaFWHM_G	FWHM_L	deltaFWHM_L	Intensity	deltaIntensity	FitFlux	deltaFitFlux	Freq.IntensityMax	V.IntensityMax	FWHM	IntensityMax	Flux1stMom	deltaFlux1stMom	rms	deltaV	Cal	Size	TelescopePath	TelescopeName
None	None	None	None	MHz	K	None	s-1	MHz	MHz	km/s	km/s	km/s	km/s	km/s	km/s	K	K	K.km/s	K.km/s	MHz	km/s	km/s	K	K.km/s	K.km/s	mK	km/s	%	arcsec	None	None
41001	1	CH3CN	(4 1 _ 3 1)	73588.799	15.9753	18	2.97E-5	73588.843	0.0673	6.621	0.2743	0.9703	1.0193	0.0	0.0	0.0509	0.0481	0.0526	0.0000	73588.775	6.901	1.0037	0.0441	0.0443	0.0000	6.8913	0.7957	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(4 0 _ 3 0)	73590.218	8.8295	18	3.17E-5	73590.260	0.0335	6.630	0.1365	1.4298	0.3765	0.0	0.0	0.0597	0.0128	0.0908	0.0000	73590.337	6.316	1.6958	0.0534	0.0905	0.0000	6.4857	0.7957	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(5 2 _ 4 2)	91979.994	41.8253	22	5.32E-5	91979.840	0.0781	7.302	0.2546	1.9584	0.5996	0.0	0.0	0.0078	0.0021	0.0164	0.0000	91979.989	6.818	0.6490	0.0075	0.0049	0.0000	2.0861	0.6366	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(5 1 _ 4 1)	91985.314	20.3899	22	6.08E-5	91985.325	0.0346	6.763	0.1127	1.4797	0.2668	0.0	0.0	0.0457	0.0071	0.0719	0.0000	91985.262	6.969	1.1916	0.0490	0.0584	0.0000	5.5094	0.6366	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(5 0 _ 4 0)	91987.088	13.2442	22	6.33E-5	91987.092	0.0241	6.785	0.0785	1.3125	0.1915	0.0	0.0	0.0565	0.0070	0.0790	0.0000	91987.020	7.020	1.2782	0.0548	0.0701	0.0000	5.3112	0.6366	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(6 3 _ 5 3)	110364.354	82.8423	52	8.33E-5	110364.221	0.0909	7.161	0.2470	2.0611	0.5845	0.0	0.0	0.0165	0.0040	0.0362	0.0000	110364.172	7.295	1.2899	0.0208	0.0268	0.0000	4.4757	0.5306	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(6 1 _ 5 1)	110381.372	25.6874	26	1.08E-4	110381.377	0.0569	6.786	0.1544	1.4559	0.3635	0.0	0.0	0.0262	0.0057	0.0406	0.0000	110381.359	6.834	0.7954	0.0290	0.0231	0.0000	3.7550	0.5305	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(6 0 _ 5 0)	110383.500	18.5418	26	1.11E-4	110383.551	0.0355	6.661	0.0963	1.0656	0.2240	0.0	0.0	0.0322	0.0059	0.0365	0.0000	110383.508	6.778	0.9744	0.0347	0.0338	0.0000	4.2190	0.5305	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
41001	1	CH3CN	(6 1 _ 5 1)	110381.372	25.6874	26	1.08E-4	110381.373	0.0464	6.797	0.1261	1.2110	0.2930	0.0	0.0	0.0271	0.0057	0.0350	0.0000	110381.359	6.834	0.7954	0.0290	0.0231	0.0000	3.7524	0.5305	0.0	0.0	/Users/munozcar/Research/CASSIS/delivery/telescope/	iram_EMIR
