Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3CN (4 3 _ 3 3) 	41001	73577.451	73.132	1.39E-5	0.000E0	0	0.00E0	
CH3CN (4 2 _ 3 2) 	41001	73584.543	37.411	2.38E-5	0.000E0	0	0.00E0	
CH3CN (4 1 _ 3 1) 	41001	73588.799	15.975	2.97E-5	0.000E0	0	0.00E0	
CH3CN (4 0 _ 3 0) 	41001	73590.218	8.829	3.17E-5	0.000E0	0	0.00E0	
CH3CN (5 4 _ 4 4) 	41001	91958.726	127.543	2.28E-5	0.000E0	0	0.00E0	
CH3CN (5 3 _ 4 3) 	41001	91971.130	77.546	4.05E-5	0.000E0	0	0.00E0	
CH3CN (5 2 _ 4 2) 	41001	91979.994	41.825	5.32E-5	0.000E0	0	0.00E0	
CH3CN (5 1 _ 4 1) 	41001	91985.314	20.39	6.08E-5	0.000E0	0	0.00E0	
CH3CN (5 0 _ 4 0) 	41001	91987.088	13.244	6.33E-5	0.000E0	0	0.00E0	
CH3CN (6 4 _ 5 4) 	41001	110349.470	132.839	6.17E-5	0.000E0	0	0.00E0	
CH3CN (6 3 _ 5 3) 	41001	110364.354	82.842	8.33E-5	0.000E0	0	0.00E0	
CH3CN (6 2 _ 5 2) 	41001	110374.989	47.122	9.87E-5	0.000E0	0	0.00E0	
CH3CN (6 1 _ 5 1) 	41001	110381.372	25.687	1.08E-4	0.000E0	0	0.00E0	
CH3CN (6 0 _ 5 0) 	41001	110383.500	18.542	1.11E-4	0.000E0	0	0.00E0	
