Transition	Tag	Frequency(Ghz)	Eup(K)	Aij	Tau	Tex	Intensity(K)
CH3COOH, vt=0 (17 13 4 0 1 _ 17 12 5 0 2) 	60523	69848.361	145.738	2.11E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (5 4 1 0 0 _ 5 1 4 0 0) 	60523	69864.208	14.862	2.36E-8	0.000E0	0	0.00E0	
CH3COOH, vt=0 (16 10 7 0 2 _ 16 9 8 0 1) 	60523	69870.724	122.21	2.37E-6	0.000E0	0	0.00E0	
CH3COCH3 (7 4 4 0 _ 6 5 2 1) 	58003	69893.762	21.594	3.63E-8	0.000E0	0	0.00E0	
CH3NH2 (7 1 4 _ 7 0 5) 	31008	69903.689	63.32	3.34E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (17 13 5 0 0 _ 17 12 6 0 0) 	60523	69907.998	145.379	2.03E-6	0.000E0	0	0.00E0	
CH3COCH3 (18 11 8 0 _ 17 14 3 0) 	58003	69913.262	137.613	6.37E-9	0.000E0	0	0.00E0	
HC7N (62 62 _ 61 62) 	99002	69930.873	105.724	1.28E-8	0.000E0	0	0.00E0	
HC7N (62 61 _ 61 60) 	99002	69932.405	105.724	4.93E-5	0.000E0	0	0.00E0	
HC7N (62 62 _ 61 61) 	99002	69932.406	105.724	4.93E-5	0.000E0	0	0.00E0	
HC7N (62 63 _ 61 62) 	99002	69932.406	105.724	4.94E-5	0.000E0	0	0.00E0	
HC7N (62 61 _ 61 61) 	99002	69933.963	105.724	1.31E-8	0.000E0	0	0.00E0	
CH3OCHO (4 3 1 2 _ 4 2 3 1) 	60003	69943.104	11.897	1.20E-7	0.000E0	0	0.00E0	
C8H (60 -1 59.5 59 _ 59 1 58.5 58) 	97501	69946.337	129.324	8.34E-5	0.000E0	0	0.00E0	
C8H (60 -1 59.5 60 _ 59 1 58.5 59) 	97501	69946.353	129.324	8.34E-5	0.000E0	0	0.00E0	
C8H (60 1 59.5 59 _ 59 -1 58.5 58) 	97501	69954.692	129.352	8.35E-5	0.000E0	0	0.00E0	
C8H (60 1 59.5 60 _ 59 -1 58.5 59) 	97501	69954.707	129.352	8.35E-5	0.000E0	0	0.00E0	
CH3COCH3 (7 5 3 0 _ 6 6 0 0) 	58003	69968.208	23.051	2.91E-7	0.000E0	0	0.00E0	
CH3COCH3 (15 7 8 1 _ 15 6 9 1) 	58003	69969.438	92.989	7.95E-6	0.000E0	0	0.00E0	
CH3COCH3 (15 7 8 1 _ 15 6 9 2) 	58003	69972.757	92.989	7.95E-6	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 8 4 0 0 _ 10 10 1 0 0) 	60523	69983.830	61.669	4.41E-10	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 11 0 0 1 _ 11 10 1 0 2) 	60523	69990.241	70.419	6.58E-7	0.000E0	0	0.00E0	
C8H- (60 _ 59) 	97502	69997.113	102.462	2.14E-4	0.000E0	0	0.00E0	
CH3COOH, vt=0 (11 11 1 0 2 _ 11 10 2 0 1) 	60523	70014.365	70.418	6.58E-7	0.000E0	0	0.00E0	
CH3C5N (45 3 45 _ 44 3 44) 	89501	70016.821	145.229	5.73E-5	0.000E0	0	0.00E0	
CH3C5N (45 3 44 _ 44 3 43) 	89501	70016.822	145.229	5.73E-5	0.000E0	0	0.00E0	
CH3C5N (45 3 46 _ 44 3 45) 	89501	70016.823	145.229	5.74E-5	0.000E0	0	0.00E0	
CH3C5N (45 2 44 _ 44 2 43) 	89501	70018.802	107.489	5.75E-5	0.000E0	0	0.00E0	
CH3C5N (45 2 45 _ 44 2 44) 	89501	70018.802	107.489	5.75E-5	0.000E0	0	0.00E0	
